S1image_fn,S2image_fn,label_fn,hr_label_fn
/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s1_0/ROIs0000_test_s1_0_p712.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s2_0/ROIs0000_test_s2_0_p712.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/lc_0/ROIs0000_test_lc_0_p712.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/dfc_0/ROIs0000_test_dfc_0_p712.tif
/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s1_0/ROIs0000_test_s1_0_p4355.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s2_0/ROIs0000_test_s2_0_p4355.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/lc_0/ROIs0000_test_lc_0_p4355.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/dfc_0/ROIs0000_test_dfc_0_p4355.tif
/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s1_0/ROIs0000_test_s1_0_p2975.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s2_0/ROIs0000_test_s2_0_p2975.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/lc_0/ROIs0000_test_lc_0_p2975.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/dfc_0/ROIs0000_test_dfc_0_p2975.tif
/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s1_0/ROIs0000_test_s1_0_p1101.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s2_0/ROIs0000_test_s2_0_p1101.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/lc_0/ROIs0000_test_lc_0_p1101.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/dfc_0/ROIs0000_test_dfc_0_p1101.tif
/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s1_0/ROIs0000_test_s1_0_p2293.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s2_0/ROIs0000_test_s2_0_p2293.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/lc_0/ROIs0000_test_lc_0_p2293.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/dfc_0/ROIs0000_test_dfc_0_p2293.tif
/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s1_0/ROIs0000_test_s1_0_p4650.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s2_0/ROIs0000_test_s2_0_p4650.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/lc_0/ROIs0000_test_lc_0_p4650.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/dfc_0/ROIs0000_test_dfc_0_p4650.tif
/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s1_0/ROIs0000_test_s1_0_p3279.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s2_0/ROIs0000_test_s2_0_p3279.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/lc_0/ROIs0000_test_lc_0_p3279.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/dfc_0/ROIs0000_test_dfc_0_p3279.tif
/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s1_0/ROIs0000_test_s1_0_p3741.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s2_0/ROIs0000_test_s2_0_p3741.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/lc_0/ROIs0000_test_lc_0_p3741.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/dfc_0/ROIs0000_test_dfc_0_p3741.tif
/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s1_0/ROIs0000_test_s1_0_p4100.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s2_0/ROIs0000_test_s2_0_p4100.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/lc_0/ROIs0000_test_lc_0_p4100.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/dfc_0/ROIs0000_test_dfc_0_p4100.tif
/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s1_0/ROIs0000_test_s1_0_p4718.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/s2_0/ROIs0000_test_s2_0_p4718.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/lc_0/ROIs0000_test_lc_0_p4718.tif,/mnt/CEPH_PROJECTS/PODIUMS/quantum/dataset/dfc_0/ROIs0000_test_dfc_0_p4718.tif
